corpus,arch,replicate,cell,input,loss,weight_decay,macro_map,micro_map,macro_f1s,top_1_rec,top_3_rec,top_5_rec,normalization,checkpoint
amass_clean,medium_100ep,seed2,in_pk__loss_pkd,pk,pkd,0.00003,0.36670437455177307,0.5556042790412903,0.25329601764678955,0.2867918610572815,0.5369924306869507,0.6458835005760193,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed2/in_pk__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed42,in_pk__loss_pkd,pk,pkd,0.00003,0.36440369486808777,0.5543225407600403,0.2508885860443115,0.28454500436782837,0.5352271199226379,0.6466858983039856,pretrain_v1_train_clean.pt,runs/baseline_matrix_100ep_medium/in_pk__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed42,in_pkd__loss_p,pkd,p,0.00001,0.34518763422966003,0.537562906742096,0.25708094239234924,0.2807735502719879,0.525036096572876,0.6364949345588684,pretrain_v1_train_clean.pt,runs/baseline_matrix_100ep_medium/in_pkd__loss_p/lightning_logs/version_0/checkpoints/epoch=94-step=10925.ckpt
amass_clean,medium_100ep,seed2,in_pkd__loss_p,pkd,p,0.00001,0.3527725636959076,0.5451537370681763,0.2581557631492615,0.2792489230632782,0.5305729508399963,0.6382603049278259,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed2/in_pkd__loss_p/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed1,in_pkd__loss_p,pkd,p,0.00003,0.3479141294956207,0.53846675157547,0.22934867441654205,0.278767466545105,0.5241534113883972,0.6364949345588684,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed1/in_pkd__loss_p/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed1,in_pkd__loss_pk,pkd,pk,0.00001,0.355125367641449,0.550615668296814,0.248483806848526,0.28462526202201843,0.5358690619468689,0.6516610383987427,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed1/in_pkd__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed2,in_pkd__loss_pk,pkd,pk,0.00001,0.3595871925354004,0.5523923635482788,0.2599058449268341,0.28245866298675537,0.538998544216156,0.6506178975105286,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed2/in_pkd__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed42,in_pkd__loss_pk,pkd,pk,3e-6,0.35853126645088196,0.5495826601982117,0.2810542583465576,0.28253892064094543,0.5319370627403259,0.6516610383987427,pretrain_v1_train_clean.pt,runs/baseline_matrix_100ep_medium/in_pkd__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed2,in_pkd__loss_pkd,pkd,pkd,3e-6,0.3635368347167969,0.5502985715866089,0.2821270823478699,0.27989086508750916,0.5402022004127502,0.6519820094108582,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed2/in_pkd__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed1,in_pkd__loss_pkd,pkd,pkd,3e-6,0.3603500723838806,0.5508196353912354,0.2798755168914795,0.2816562354564667,0.5377146601676941,0.6499759554862976,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed1/in_pkd__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed42,in_pkd__loss_pkd,pkd,pkd,0.00001,0.3571505844593048,0.5490721464157104,0.24858109652996063,0.2844647765159607,0.5361097455024719,0.6525437235832214,pretrain_v1_train_clean.pt,runs/baseline_matrix_100ep_medium/in_pkd__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_thindec_100ep,seed1,in_p__loss_p,p,p,3e-6,0.348235547542572,0.5329251885414124,0.27381017804145813,0.27700209617614746,0.5179746150970459,0.630717396736145,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed1/in_p__loss_p/lightning_logs/version_0/checkpoints/epoch=94-step=10925.ckpt
amass_clean,medium_thindec_100ep,seed2,in_p__loss_p,p,p,0.00001,0.34732991456985474,0.5343999862670898,0.251831591129303,0.2774032950401306,0.5176536440849304,0.6316000819206238,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed2/in_p__loss_p/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_thindec_100ep,seed42,in_p__loss_p,p,p,0.00001,0.3323685824871063,0.5228637456893921,0.23368306457996368,0.2766008675098419,0.5109131932258606,0.6238164305686951,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed42/in_p__loss_p/lightning_logs/version_0/checkpoints/epoch=94-step=10925.ckpt
amass_clean,medium_thindec_100ep,seed1,in_p__loss_pk,p,pk,3e-6,0.349401593208313,0.5416539907455444,0.26434993743896484,0.2818167209625244,0.5261595249176025,0.6383405327796936,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed1/in_p__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_thindec_100ep,seed42,in_p__loss_pk,p,pk,0.00001,0.36429011821746826,0.5562260150909424,0.26872313022613525,0.2859894037246704,0.5334617495536804,0.6450810432434082,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed42/in_p__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
